Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado	CPU (%)	RAM (%)	Disco (%)
pcb442	442	50778	twice_around_the_tree	5.4237220287323	1.3660424299142642	69364.90250618651	34.61384582519531	76.47777777777779	73.61111111111113	49.3
d493	493	35002	twice_around_the_tree	7.155080080032349	1.297842661763193	45427.08884703529	42.09452438354492	68.13333333333333	73.34444444444443	49.3
u574	574	36905	twice_around_the_tree	9.921439170837402	1.3299865042196892	49083.15193822763	55.47846603393555	70.44285714285714	73.12142857142855	49.29999999999999
rat575	575	6773	twice_around_the_tree	9.20448613166809	1.3936119051174758	9438.933433360664	55.64904022216797	55.508333333333326	72.88333333333334	49.29999999999999
p654	654	34643	twice_around_the_tree	20.640085697174072	1.4355539480460753	49731.89542216019	70.3845100402832	93.14999999999999	74.15714285714284	49.29999999999999
d657	657	48912	twice_around_the_tree	13.298173904418945	1.3438459621443237	65730.19370040316	70.95741653442383	66.39411764705882	72.84117647058824	49.3
u724	724	41910	twice_around_the_tree	12.286786556243896	1.3786606512269666	57779.66789292217	97.76103591918945	32.699999999999996	73.03333333333332	49.29999999999998
rat783	783	8806	twice_around_the_tree	13.946353912353516	1.3688908876607937	12054.453156740949	112.05866050720215	32.07894736842106	72.89473684210526	49.29999999999999
pr1002	1002	259045	twice_around_the_tree	21.622762441635132	1.321177642478497	342244.46239584225	173.41107559204102	32.044444444444444	72.85555555555557	49.29999999999999
u1060	1060	224094	twice_around_the_tree	24.61077117919922	1.3517312661960685	302914.8663669418	191.92388534545898	31.83548387096774	73.55161290322582	49.29999999999998
vm1084	1084	239297	twice_around_the_tree	26.357271671295166	1.3174772301748483	315268.3487491507	200.33845138549805	37.508823529411764	72.03529411764706	49.3
pcb1173	1173	56892	twice_around_the_tree	30.00514030456543	1.418387345544943	80694.8928627429	230.79211044311523	33.0108108108108	74.37837837837836	49.29999999999999
d1291	1291	50801	twice_around_the_tree	38.501983642578125	1.4696225922723294	74658.29731002661	274.4868965148926	31.319999999999993	75.05333333333333	49.30000000000001
rl1304	1304	252948	twice_around_the_tree	40.559085845947266	1.3749172570706139	347782.57034149766	281.4481363296509	36.62916666666666	74.53125	49.300000000000004
rl1323	1323	270199	twice_around_the_tree	41.43096685409546	1.4079311455787364	380421.587604229	287.5837059020996	31.739583333333332	74.46458333333334	49.300000000000004
nrw1379	1379	56638	twice_around_the_tree	46.8006751537323	1.397582278070714	79156.2650653691	359.26828384399414	37.43396226415094	73.67169811320754	49.30000000000002
fl1400	1400	20127	twice_around_the_tree	44.541903257369995	1.3869689212101481	27915.52347719665	368.5388069152832	37.50188679245283	74.36981132075472	49.30000000000002
u1432	1432	152970	twice_around_the_tree	47.90955471992493	1.4017832290508725	214430.78054791197	382.87826919555664	40.343859649122805	75.40701754385965	49.300000000000004
fl1577	1577	[22204,22249]	twice_around_the_tree	55.22263836860657	1.4061924278046138	31223.096666973648	453.3167839050293	36.242424242424235	77.52878787878788	49.30000000000001
d1655	1655	62128	twice_around_the_tree	99.0750367641449	1.3791056917466216	85681.0784168341	493.9591178894043	65.45096153846154	82.06346153846152	49.3
vm1748	1748	336556	twice_around_the_tree	81.34393668174744	1.3212025099607339	444658.6319423448	544.2211818695068	51.91075268817206	84.51827956989248	49.30000000000002
u1817	1817	57201	twice_around_the_tree	100.65698504447937	1.459791887806316	83501.55577440909	581.9957122802734	55.46698113207546	86.30094339622643	49.300000000000004
rl1889	1889	316536	twice_around_the_tree	101.7506902217865	1.4210436985784265	449811.48817322083	624.2429342269897	56.18738738738739	85.51171171171171	49.30000000000001
d2103	2103	[79952,80450]	twice_around_the_tree	123.61743450164795	1.5576079598249652	124533.87160392563	757.2170372009277	54.01086956521739	86.43695652173913	49.30000000000001
u2152	2152	64253	twice_around_the_tree	150.61208391189575	1.4797163686512498	95076.21583494876	788.5015296936035	64.67701149425287	86.5787356321839	49.30000000000001
u2319	2319	234256	twice_around_the_tree	175.12213134765625	1.3683015206772815	320532.84102777723	902.3167095184326	57.0252808988764	86.75842696629213	49.30000000000001
pr2392	2392	378032	twice_around_the_tree	190.31894302368164	1.3838323394299639	523132.9069393881	955.9339179992676	60.9923076923077	88.38942307692308	49.3
pcb3038	3038	137694	twice_around_the_tree							
fl3795	3795	[28723,28772]	twice_around_the_tree							
fnl4461	4461	182566	twice_around_the_tree							
rl5915	5915	[565040,565530]	twice_around_the_tree							
rl5934	5934	[554070,556045]	twice_around_the_tree							
rl11849	11849	[920847,923368]	twice_around_the_tree							
usa13509	13509	[19947008,19982889]	twice_around_the_tree							
brd14051	14051	[468942,469445]	twice_around_the_tree							
d15112	15112	[1564590,1573152]	twice_around_the_tree							
d18512	18512	[644650,645488]	twice_around_the_tree							
