Dataset	Nós	Limiar	algoritmo	tempo execução	taxa aproximação atingida	custo caminho atingido	Espaço (MB) usado	CPU (%)	RAM (%)	Disco (%)
pr144	144	58537	christofides	0.6475589275360107	1.2062729788425255	70611.60136250491	3.3843917846679688	35.4	55.9	49.2
ch150	150	6528	christofides	1.9981696605682373	1.0973350223499123	7163.4030259002275	3.6575469970703125	37.333333333333336	55.76666666666667	49.20000000000001
kroA150	150	26524	christofides	5.687112092971802	1.1068027389714161	29356.835848477844	3.6575241088867188	65.3111111111111	58.21111111111111	49.2
kroB150	150	26130	christofides	5.198130369186401	1.1417053812372089	29832.76161172827	3.6570510864257812	52.800000000000004	60.0625	49.2
pr152	152	73682	christofides	0.992833137512207	1.0752569451717289	79227.08223414332	3.750263214111328	35.0	58.8	49.2
u159	159	42080	christofides	2.7809321880340576	1.1143447677446916	46891.627826696626	4.080680847167969	34.14	58.06	49.2
rat195	195	2323	christofides	5.007143020629883	1.144678981355286	2659.0892736883293	6.864753723144531	40.625	57.625	49.2
d198	198	15780	christofides	7.233629465103149	1.0973616248732347	17316.366440499645	7.0675048828125	58.78181818181818	57.790909090909096	49.2
kroB200	200	29437	christofides	11.733252763748169	1.1143470794280734	32803.034977124196	7.1950836181640625	58.599999999999994	58.699999999999996	49.20000000000001
kroA200	200	29368	christofides	10.763187646865845	1.1234548762882552	32993.62280683348	7.192226409912109	43.78125	58.38125	49.2
ts225	225	126643	christofides	1.5188803672790527	1.0524242979303513	133282.1703627935	8.875715255737305	61.46666666666667	58.199999999999996	49.20000000000001
tsp225	225	3919	christofides	10.579094648361206	1.1128075828616117	4361.092917234657	8.88201904296875	55.525	58.206250000000004	49.2
pr226	226	80369	christofides	5.879564523696899	1.1489866842607086	92342.91082734888	8.946203231811523	53.08888888888889	58.599999999999994	49.211111111111116
gil262	262	2378	christofides	21.827112436294556	1.1303723688758105	2688.0254931866775	11.673583984375	45.38787878787878	58.24848484848484	49.3
pr264	264	49135	christofides	5.192946434020996	1.1097430871218537	54527.22658573228	11.858802795410156	57.4125	57.7	49.3
a280	280	2579	christofides	15.84281325340271	1.1516351007991432	2970.0669249609905	13.207927703857422	44.9625	57.49583333333334	49.29999999999999
pr299	299	48191	christofides	22.16551637649536	1.0997805632834305	52999.5251251918	14.885757446289062	37.991176470588236	57.88235294117647	49.3
lin318	318	42029	christofides	21.41563320159912	1.129329052824647	47464.57076116709	16.664169311523438	31.65757575757576	57.17575757575757	49.3
linhp318	318	41345	christofides	27.42714285850525	1.1480123536380962	47464.57076116709	16.802230834960938	33.988095238095234	55.69523809523809	49.3
